ident,latitude,longitude,country_code,country_name
EMORA,24.143055555555556,55.59916666666667,AE,United Arab Emirates
ESVAD,25.043333333333337,55.9575,AE,United Arab Emirates
GEPEL,24.293333333333337,54.64666666666667,AE,United Arab Emirates
GESIB,25.54138888888889,55.165,AE,United Arab Emirates
GEXIK,24.77583333333333,55.37888888888889,AE,United Arab Emirates
GINKI,25.38611111111111,55.130833333333335,AE,United Arab Emirates
GINRU,25.351111111111113,55.24305555555556,AE,United Arab Emirates
GODKA,25.13222222222222,55.05833333333333,AE,United Arab Emirates
GOMPI,25.290277777777778,53.416666666666664,AE,United Arab Emirates
GOMVA,25.263055555555557,55.01777777777777,AE,United Arab Emirates
GONLO,25.571666666666665,54.94027777777777,AE,United Arab Emirates
IMKIR,25.066861111111113,56.4445,AE,United Arab Emirates
ITPUT,25.066666666666666,54.97138888888889,AE,United Arab Emirates
IVALA,25.06888888888889,54.848888888888894,AE,United Arab Emirates
IVISA,24.559166666666666,54.27111111111111,AE,United Arab Emirates
IVIXO,25.273333333333333,55.094722222222224,AE,United Arab Emirates
IVOGO,25.31388888888889,55.144999999999996,AE,United Arab Emirates
IVUGA,25.798055555555557,55.88333333333333,AE,United Arab Emirates
KAPUM,24.97083333333333,53.580555555555556,AE,United Arab Emirates
KATIK,25.285833333333336,53.25416666666667,AE,United Arab Emirates
KEDER,24.331944444444446,54.690555555555555,AE,United Arab Emirates
KIPOD,24.96222222222222,53.132222222222225,AE,United Arab Emirates
KULGI,25.40611111111111,55.63027777777778,AE,United Arab Emirates
KUSEN,25.30777777777778,56.394444444444446,AE,United Arab Emirates
KUVIP,25.491611111111112,55.975388888888894,AE,United Arab Emirates
KUVON,25.264611111111112,55.350388888888894,AE,United Arab Emirates
KUVRO,24.37472222222222,55.63138888888889,AE,United Arab Emirates
LADVI,25.28388888888889,55.498333333333335,AE,United Arab Emirates
LAGLI,25.390277777777776,56.240833333333335,AE,United Arab Emirates
LAGMI,24.9525,52.696666666666665,AE,United Arab Emirates
LOPAK,25.168333333333333,53.48972222222222,AE,United Arab Emirates
LOPEG,25.704444444444444,55.10944444444445,AE,United Arab Emirates
LOROT,24.8725,55.82138888888889,AE,United Arab Emirates
MEKTO,25.190555555555555,56.12027777777778,AE,United Arab Emirates
MEPTI,25.15888888888889,56.23722222222222,AE,United Arab Emirates
MEVBO,25.169722222222223,55.20944444444445,AE,United Arab Emirates
MIPIL,25.26527777777778,55.620694444444446,AE,United Arab Emirates
MIPIP,24.2375,54.724444444444444,AE,United Arab Emirates
MOGAV,25.123333333333335,55.226111111111116,AE,United Arab Emirates
MURAG,24.371944444444445,54.73719444444445,AE,United Arab Emirates
MUSAP,24.298333333333336,55.87916666666667,AE,United Arab Emirates
MUVGI,25.717499999999998,55.9075,AE,United Arab Emirates
NADAM,25.981666666666666,53.659166666666664,AE,United Arab Emirates
NADUT,25.8575,55.65,AE,United Arab Emirates
NAGEX,25.175833333333333,56.20777777777778,AE,United Arab Emirates
NAGRA,25.06861111111111,53.379444444444445,AE,United Arab Emirates
NAKSO,24.557222222222222,54.66777777777777,AE,United Arab Emirates
NAMLA,25.092222222222222,52.555,AE,United Arab Emirates
NITVU,24.33138888888889,54.6175,AE,United Arab Emirates
NIVKA,24.456666666666667,55.649166666666666,AE,United Arab Emirates
NODVI,24.57777777777778,54.47944444444445,AE,United Arab Emirates
NOLVA,25.140555555555554,54.896388888888886,AE,United Arab Emirates
NOSMO,25.443055555555556,55.31805555555556,AE,United Arab Emirates
NOTRU,25.127222222222223,55.18111111111111,AE,United Arab Emirates
NOVNA,26.02722222222222,55.824444444444445,AE,United Arab Emirates
OBRAN,25.391305555555554,55.40822222222222,AE,United Arab Emirates
OBROS,25.15361111111111,55.550555555555555,AE,United Arab Emirates
OBSEN,25.203888888888887,56.04138888888889,AE,United Arab Emirates
OBSIK,24.289166666666667,54.65277777777778,AE,United Arab Emirates
ODBEV,24.696666666666665,55.521388888888886,AE,United Arab Emirates
ORGIK,25.410833333333333,55.99944444444444,AE,United Arab Emirates
ORLIK,25.540555555555557,54.915277777777774,AE,United Arab Emirates
ORLIP,25.016944444444444,54.94305555555555,AE,United Arab Emirates
ORMOB,25.15611111111111,55.427499999999995,AE,United Arab Emirates
ORPAT,24.878888888888888,55.01611111111111,AE,United Arab Emirates
OTOLO,24.998055555555556,55.09527777777778,AE,United Arab Emirates
OVUPO,25.502833333333335,55.972055555555556,AE,United Arab Emirates
OXAPO,25.10611111111111,54.99472222222222,AE,United Arab Emirates
PASEK,24.290277777777778,54.68583333333333,AE,United Arab Emirates
PAXEL,24.96638888888889,53.336666666666666,AE,United Arab Emirates
PAXUG,25.32111111111111,55.89833333333333,AE,United Arab Emirates
PEDOV,25.355833333333333,55.17833333333333,AE,United Arab Emirates
PURBU,25.922222222222224,55.86,AE,United Arab Emirates
PUSUN,25.183888888888887,55.74666666666667,AE,United Arab Emirates
PUTGA,25.304861111111112,55.27038888888889,AE,United Arab Emirates
PUVAL,25.599444444444444,55.71611111111111,AE,United Arab Emirates
RAGSO,25.440277777777776,55.643055555555556,AE,United Arab Emirates
RALBO,24.789444444444445,53.33416666666667,AE,United Arab Emirates
RARMA,25.171111111111113,54.94277777777778,AE,United Arab Emirates
RESID,25.21222222222222,55.769999999999996,AE,United Arab Emirates
REVUL,24.794722222222223,55.344722222222224,AE,United Arab Emirates
REXOP,25.213055555555556,55.70166666666667,AE,United Arab Emirates
RIGIL,23.029444444444444,55.24166666666667,AE,United Arab Emirates
RUGUN,25.438333333333333,55.31472222222222,AE,United Arab Emirates
SIBMA,25.19388888888889,55.153055555555554,AE,United Arab Emirates
SIMKO,25.161388888888887,55.733333333333334,AE,United Arab Emirates
SIVAX,24.22083333333333,54.772777777777776,AE,United Arab Emirates
SOBOB,24.671111111111113,55.39083333333333,AE,United Arab Emirates
SODAD,25.03888888888889,55.95722222222223,AE,United Arab Emirates
SURVO,25.139166666666664,55.68416666666666,AE,United Arab Emirates
SUVBA,25.048333333333336,55.06111111111111,AE,United Arab Emirates
TAMPU,25.52472222222222,55.337500000000006,AE,United Arab Emirates
TIMAX,25.066666666666666,55.96888888888889,AE,United Arab Emirates
TOSBO,25.466666666666665,55.166666666666664,AE,United Arab Emirates
TOSNA,25.27,52.687777777777775,AE,United Arab Emirates
TOXOD,25.320083333333333,55.25025,AE,United Arab Emirates
TUBSI,25.389616666666665,55.407125,AE,United Arab Emirates
TUDOP,25.466666666666665,55.75,AE,United Arab Emirates
UKIXA,25.208055555555553,55.44888888888889,AE,United Arab Emirates
UKNOM,25.308333333333334,55.715,AE,United Arab Emirates
UKSUL,24.74277777777778,55.43861111111111,AE,United Arab Emirates
ULERA,25.21944444444444,55.70638888888889,AE,United Arab Emirates
ULUPO,25.166666666666668,55.52305555555555,AE,United Arab Emirates
UMATI,25.455,55.282777777777774,AE,United Arab Emirates
UMINA,25.085555555555555,55.97805555555556,AE,United Arab Emirates
VEDAG,25.359166666666667,55.17944444444444,AE,United Arab Emirates
VUXOR,25.895555555555553,53.36611111111111,AE,United Arab Emirates
XABNA,25.211666666666666,55.44083333333333,AE,United Arab Emirates
XAKUM,24.97583333333333,53.87277777777778,AE,United Arab Emirates
XALMI,25.045833333333334,55.14972222222222,AE,United Arab Emirates
AKOGE,31.520441666666667,65.8722611111111,AF,Afghanistan
ALAMI,35.10166666666667,70.42,AF,Afghanistan
ALEXY,33.19166666666666,62.833333333333336,AF,Afghanistan
ALKIB,35.99444444444445,69.90444444444445,AF,Afghanistan
